healthAuthority_ID,partition,c_count,component_size,component_edges,budget,original_objective,num_simplicials,m_status_agg,m_obj_agg,m_MIPGap_agg,m_runtime_agg,m_status_disagg,m_obj_disagg,m_MIPGap_disagg,m_runtime_disagg,density,perc_reduction_obj_agg,perc_reduction_obj_disagg
0,93,0,2452,5115,490,14995.0,762,2,3303.0,0.0,11.542999982833862,2,3296.0,0.0,11.01199984550476,0.17022049794237862,77.9726575525175,78.01933977992664
0,94,0,2561,11380,512,100974.0,272,9,16077.0,30.65870498227281,3600.281000137329,9,13709.0,19.69509081625209,3600.215000152588,0.3471544318625537,84.0780795056153,86.42323766514153
0,95,0,2423,4511,484,12119.0,876,2,2615.0,0.0,36.34299993515015,2,2619.0,0.0,53.257999897003174,0.15373589121319803,78.42231207195313,78.38930604835383
0,96,0,2539,22497,507,469519.0,347,9,31209.0,59.57255919766734,3600.2290000915527,9,156559.0,100.0,3649.403000116348,0.6982328628478478,93.35298465024844,66.65544951322524
0,97,0,2421,6756,484,33864.0,615,2,4347.0,0.0,1369.6749999523165,2,4352.0,0.0,1261.0839998722076,0.2306266449558102,87.16335931963147,87.14859437751004
0,98,0,2442,5467,488,15477.0,703,2,3506.0,0.0,9.28600001335144,2,3507.0,0.0,8.740000009536743,0.18342799989666028,77.34703107837436,77.34056987788331
0,100,0,2452,8672,490,31888.0,477,2,5161.0,0.0,509.3489999771118,2,5161.0,0.0,407.0329999923706,0.2885927972935107,83.81522829904667,83.81522829904667
0,101,0,2565,16298,513,272338.0,313,9,12054.0,21.98440351750456,3600.233999967575,9,11636.0,21.794431075971122,3600.215000152588,0.49563152116727943,95.57388245489061,95.727368196873
0,102,0,2447,7463,489,24725.0,592,2,4389.0,0.0,47.36800003051758,2,4396.0,0.0,41.47199988365173,0.24937505868483809,82.24873609706775,82.22042467138523
0,103,0,2451,9187,490,35183.0,449,9,6164.0,0.08111615833874,3600.2220001220703,9,6162.0,0.17851346965271,3600.2489998340607,0.30598089909158277,82.48017508455789,82.48585964812551
0,104,0,2463,10381,492,44557.0,429,9,6912.0,0.13020833333333,3600.1819999217987,9,6906.0,0.07240081088908,3600.2309999465942,0.3423865739343585,84.48728594833584,84.50075184595013
0,105,0,2448,10702,489,51138.0,409,9,6891.0,0.6240023218691,3600.2679998874664,9,6891.0,0.44986213902190997,3600.223999977112,0.35731361063700784,86.52469787633463,86.52469787633463
0,106,0,2447,9411,489,37726.0,468,9,5939.0,0.35359488129314,3600.2599999904633,9,5938.0,0.18524755810037,3600.2210001945496,0.31446719513372795,84.25754121825797,84.26019191008854
