healthAuthority_ID,partition,c_count,component_size,component_edges,budget,heuristic_K,gurobi_K,pre_optimization_short_pairs,pre_gurobi_short_pairs,post_gurobi_short_pairs,c_pairwise_connectivity,c_new_pairwise_connectivity,heuristic_approach,heuristic_time,gurobi_time,total_time,num_simplicials,m_status,m_obj,m_MIPGap,m_sol_count,m_runtime
0,90,0,2457,8576,491,0,491,30338.0,30338.0,4780.0,1.0,0.03002596299949006,HDA,0,1726.7050755023956,1726.7050755023956,582,2,5024.819056250738,9.594380630093956e-05,10,1723.9786150455475
0,91,0,2449,8345,489,0,489,25976.0,25976.0,4380.0,1.0,0.010481190944984425,HDA,0,471.2866895198822,471.2866895198822,578,2,4622.11410625063,1.4010044165430897e-13,10,467.6777169704437
0,92,0,2441,5687,488,0,488,16220.0,16220.0,3420.0,1.0,0.0036744646739358534,HDA,0,304.54134035110474,304.54134035110474,730,2,3587.6475225808717,2.383341000728769e-05,10,301.7996461391449
0,93,0,2452,5115,490,0,490,14995.0,14995.0,3299.0,1.0,0.0035659685997231436,HDA,0,23.99007487297058,23.99007487297058,772,2,3452.0350937500216,5.038853713210506e-05,10,22.68770694732666
0,94,0,2561,11380,512,0,512,100974.0,100974.0,19428.0,1.0,0.8269234802037579,HDA,0,3612.5046503543854,3612.5046503543854,263,9,19828.451112501894,0.4853015309828606,6,3600.048033952713
0,95,0,2423,4511,484,0,484,12119.0,12119.0,2615.0,1.0,0.0021113518559618414,HDA,0,103.38624477386475,103.38624477386475,865,2,2748.8460000000186,8.118099271435578e-05,10,101.05157995223999
0,96,0,2539,22497,507,0,507,469519.0,469519.0,29460.0,1.0,0.7779016775414151,HDA,0,3661.7330141067505,3661.7330141067505,349,9,30813.523781257776,0.6057679870312386,4,3600.1705479621887
0,97,0,2421,6756,484,0,484,33864.0,33864.0,4352.0,1.0,0.04228923913182608,HDA,0,3603.1075603961945,3603.1075603961945,607,9,4569.168962500785,0.005323075783231561,10,3600.0277059078217
0,98,0,2442,5467,488,0,488,15477.0,15477.0,3506.0,1.0,0.003950566039911303,HDA,0,28.978153944015503,28.978153944015503,707,2,3666.2070562500217,1.9768955295487586e-05,10,27.586477994918823
0,99,0,2423,9313,484,0,484,35603.0,35603.0,5968.0,1.0,0.45772852177161955,HDA,0,3604.653882265091,3604.653882265091,464,9,6238.94685625088,0.01029045034363175,10,3600.040602207184
0,100,0,2452,8672,490,0,490,31888.0,31888.0,5166.0,1.0,0.30703717392310087,HDA,0,3604.324081659317,3604.324081659317,489,9,5421.793723522536,0.0006671971835880029,10,3600.06134390831
0,101,0,2565,16298,513,0,513,272338.0,272338.0,19463.0,1.0,0.9518786537827314,HDA,0,3637.037012577057,3637.037012577057,310,9,20231.431156251037,0.5608309496658909,3,3600.1080009937286
0,102,0,2447,7463,489,0,489,24725.0,24725.0,4396.0,1.0,0.02716630226060505,HDA,0,119.86575746536255,119.86575746536255,601,2,4611.801875000565,2.9744586990949396e-05,10,117.68647909164429
0,103,0,2451,9187,490,0,490,35183.0,35183.0,6170.0,1.0,0.3568046290418258,HDA,0,3604.5862255096436,3604.5862255096436,446,9,6437.022675000838,0.009757979655719331,10,3600.052763938904
0,104,0,2463,10381,492,0,492,44557.0,44557.0,6983.0,1.0,0.5199432378627149,HDA,0,3605.536607980728,3605.536607980728,426,9,7284.551325001134,0.017584451468349038,10,3600.063661813736
0,105,0,2448,10702,489,0,489,51138.0,51138.0,7057.0,1.0,0.7721717058744091,HDA,0,3607.994775056839,3607.994775056839,412,9,7377.156893281412,0.04124553051505648,10,3600.480942964554
0,106,0,2447,9411,489,0,489,37726.0,37726.0,5938.0,1.0,0.38295623525825684,HDA,0,3603.6821253299713,3603.6821253299713,457,9,6210.078581250895,0.011926416459440745,10,3600.0903890132904
0,107,0,2561,11064,512,0,512,87943.0,87943.0,13181.0,1.0,0.8242325715287946,HDA,0,3612.6721506118774,3612.6721506118774,264,9,13564.475200003797,0.410023098378552,6,3600.0585300922394
0,108,0,2567,13552,513,0,513,93776.0,93776.0,22683.0,1.0,0.9576424364847604,HDA,0,3610.410492181778,3610.410492181778,220,9,23122.692150002535,0.48335834702379704,7,3600.038138151169
0,109,0,2420,5449,484,0,484,16122.0,16122.0,3212.0,1.0,0.0034323146902428088,HDA,0,15.498213291168213,15.498213291168213,751,2,3374.9678062500216,9.654906914275595e-05,10,12.794898986816406
0,110,0,2453,8238,490,0,490,38829.0,38829.0,5835.0,1.0,0.3834817726305666,HDA,0,3604.90936088562,3604.90936088562,548,9,6082.160968750897,0.08186523240002258,8,3600.0228588581085
0,111,0,2435,4614,487,0,487,13179.0,13179.0,2834.0,1.0,0.002671935658397218,HDA,0,7.205454111099243,7.205454111099243,800,2,2973.054050000019,6.699485994486714e-14,10,6.066825866699219
0,112,0,2449,4650,489,0,489,13630.0,13630.0,2947.0,1.0,0.003149774458022106,HDA,0,7.570803165435791,7.570803165435791,838,2,3088.6744812500197,6.890391380082694e-14,10,6.392575979232788
0,113,0,2438,4944,487,0,487,14314.0,14314.0,3167.0,1.0,0.0035768639356542997,HDA,0,14.465783596038818,14.465783596038818,748,2,3313.29438125002,5.963852810199424e-05,10,11.922180891036987
0,114,0,2443,5332,488,0,488,15203.0,15203.0,3332.0,1.0,0.004426620454598999,HDA,0,45.85725116729736,45.85725116729736,744,2,3490.3190187500204,0.0,10,44.53698992729187
0,115,0,2383,5277,476,0,476,14082.0,14082.0,3138.0,1.0,0.0030384549990068073,HDA,0,202.11330652236938,202.11330652236938,747,2,3290.371318635146,2.4232238938853066e-05,10,199.57740020751953
0,116,0,2567,33030,513,0,513,688439.0,688439.0,57967.0,1.0,0.7851857613552448,HDA,0,3700.1775245666504,3700.1775245666504,461,9,59966.26285608819,0.771846057579947,4,3600.3357360363007
0,117,0,2449,8541,489,0,489,60444.0,60444.0,4399.0,1.0,0.022123428238063986,HDA,0,3606.0398564338684,3606.0398564338684,678,9,4693.225893751396,0.012331140746283227,10,3600.0831019878387
0,118,0,2447,4731,489,0,489,13404.0,13404.0,2999.0,1.0,0.0032903544699288013,HDA,0,13.664708614349365,13.664708614349365,774,2,3138.434068750019,1.673671718684443e-05,10,12.47776198387146
